"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.198923300E-2,-9.613752365E-3,2.620220184E-2,3.611278534E-2,4.564113146E-2
3.199907900E-2,-3.299059868E-1,1.651129723E-1,1.422557831E-1,3.953946908E-1
4.200869500E-2,-4.208788872E-1,2.944154739E-1,2.474904060E-1,5.701499891E-1
5.198800200E-2,-2.844707966E-1,2.586159706E-1,2.511072159E-2,3.852744511E-1
6.199784800E-2,3.051114082E-2,1.812620163E-1,-1.873154640E-1,2.624384334E-1
7.200746400E-2,3.067368269E-1,5.660057068E-4,-2.111930847E-1,3.724114933E-1
8.198684900E-2,3.499441147E-1,-1.343245506E-1,-2.229380608E-1,4.361253802E-1
9.199661800E-2,1.648402214E-1,-1.049070358E-1,-5.946016312E-2,2.042383308E-1
1.020062330E-1,2.394056320E-2,-6.856727600E-2,2.618732452E-1,2.717576466E-1
1.119856180E-1,1.084272861E-1,-2.778911591E-2,3.002552986E-1,3.204402529E-1
1.219953870E-1,2.543132305E-1,4.649209976E-2,2.750902176E-1,3.775067713E-1
1.320052330E-1,3.183896542E-1,8.134841919E-2,2.171778679E-1,3.938981638E-1
1.419843870E-1,2.638012171E-1,5.047512054E-2,1.421451569E-1,3.038816637E-1
1.519941560E-1,8.828067780E-2,4.558134079E-2,1.881122589E-3,9.937140093E-2
1.620037720E-1,-8.324718475E-2,3.080272675E-2,5.140161514E-2,1.025720614E-1
1.719830790E-1,-7.354700565E-2,2.053928375E-2,9.222698212E-2,1.197365460E-1
1.819929260E-1,2.807629108E-2,-7.782936096E-2,1.109762192E-1,1.384247405E-1
1.920025410E-1,1.294578314E-1,-4.816389084E-2,1.127009392E-1,1.782711199E-1
2.019819260E-1,1.188248396E-1,3.272294998E-2,1.790475845E-1,2.173664452E-1
2.119916950E-1,-6.781208515E-2,1.318550110E-1,1.108326912E-1,1.851164721E-1
2.220015410E-1,-4.120397568E-2,8.562421799E-2,-1.736860275E-1,1.979800760E-1
2.319806950E-1,1.520879269E-1,5.609750748E-2,-5.615887642E-1,5.845165591E-1
2.419904640E-1,2.568160295E-1,2.985334396E-2,-8.295397758E-1,8.688969645E-1
2.520003100E-1,2.566736937E-1,2.239894867E-2,-1.042128563E0,1.073505957E0
2.619794640E-1,2.871038914E-1,2.605152130E-2,-1.177023411E0,1.211813284E0
2.719893110E-1,1.981484890E-1,-6.408834457E-2,-1.318622589E0,1.334966543E0
2.819990800E-1,-2.036321163E-1,-1.136064529E-1,-1.001449585E0,1.028238171E0
2.920086950E-1,-7.476309538E-1,1.071834564E-1,-3.265662193E-1,8.228522541E-1
3.019880800E-1,-5.899503231E-1,-2.416849136E-2,3.031382561E-1,6.637155279E-1
3.119978490E-1,-1.907494068E-1,-6.187663078E-1,3.994998932E-1,7.608266850E-1
3.220074640E-1,-3.877704144E-1,-8.262963295E-1,3.755025864E-1,9.869821228E-1
3.319868490E-1,-3.856732845E-1,-7.131676674E-1,5.563516617E-1,9.833001453E-1
3.419966180E-1,-1.158325672E-1,-3.419380188E-1,5.985193253E-1,6.989736583E-1
3.520062340E-1,5.095770359E-1,5.374431610E-3,6.023826599E-1,7.890263044E-1
3.619856180E-1,1.977326870E-1,3.094196320E-2,4.385995865E-1,4.821049863E-1
3.719953880E-1,-2.100317478E-1,1.939344406E-2,1.861429214E-1,2.813158864E-1
3.820052340E-1,-1.011321306E0,-6.697702408E-2,-1.323676109E-1,1.022143772E0
3.919843880E-1,-1.568789244E0,-2.730326653E-1,-4.010295868E-2,1.592876258E0
4.019941570E-1,-1.610784531E0,-3.559508324E-1,9.363651276E-1,1.896867800E0
