"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.236492300E-2	1.652753353E-1	6.244583130E-1	1.184822083E0	1.349469336E0
3.237476900E-2	-1.001796722E-1	5.939011574E-1	7.401723862E-1	9.542587242E-1
4.238453900E-2	-2.370071411E-1	6.336450577E-1	3.100795746E-1	7.441960673E-1
5.236369200E-2	5.764206648E-1	6.988973618E-1	2.368955612E-1	9.363961832E-1
6.237353900E-2	7.646628618E-1	6.101555824E-1	-3.465318680E-1	1.037826316E0
7.238330800E-2	5.650938749E-1	7.426328659E-1	-5.909037590E-1	1.104536968E0
8.236246200E-2	6.923838854E-1	8.196606636E-1	-2.389812469E-1	1.099250237E0
9.237223100E-2	5.529735088E-1	6.790485382E-1	9.831428528E-3	8.757758136E-1
1.023820770E-1	1.860276461E-1	6.123080254E-1	1.108446121E-1	6.494720402E-1
1.123612310E-1	-3.074728251E-1	6.076474190E-1	9.296417236E-2	6.873261680E-1
1.223710000E-1	-6.643074155E-1	5.073838234E-1	6.217193604E-2	8.382171772E-1
1.323808470E-1	-8.862347603E-1	3.825812340E-1	2.759647369E-2	9.656821508E-1
1.423600000E-1	-9.469770789E-1	2.812728882E-1	-1.111016273E-1	9.940943603E-1
1.523698470E-1	-8.918753862E-1	2.166013718E-1	-3.047738075E-1	9.670806236E-1
1.623796160E-1	-7.639937997E-1	1.390404701E-1	-2.275824547E-1	8.092048887E-1
1.723587700E-1	-5.791533589E-1	1.112895012E-1	-7.896995544E-2	5.950127899E-1
1.823686160E-1	-3.398227692E-1	1.357283592E-1	6.639003754E-2	3.718996357E-1
1.923783850E-1	-8.840000629E-2	1.372704506E-1	1.947259903E-1	2.541179825E-1
2.023577700E-1	4.938626289E-2	1.431226730E-1	2.159996033E-1	2.637781854E-1
2.123673850E-1	3.562271595E-2	1.799435616E-1	1.306667328E-1	2.252164699E-1
